accuracy,avg_reaction_time,mistakes,current_level,streak,game_type,next_level
88.5,3.49,1,3,1,attention,3
100.0,1.6,0,1,3,pattern,2
96.8,2.79,0,3,-2,pattern,3
83.8,1.51,2,1,2,attention,2
56.0,3.78,2,5,1,pattern,4
88.4,2.95,4,2,3,routine,2
52.5,3.11,5,5,2,memory,4
62.6,1.87,5,4,-2,routine,3
100.0,2.84,0,2,-2,routine,2
70.0,2.96,2,4,3,attention,4
72.0,3.57,2,5,-2,memory,4
80.0,4.06,2,5,-1,memory,4
51.8,2.79,4,5,1,attention,4
95.9,1.67,1,2,3,attention,3
81.6,3.36,0,4,3,pattern,4
75.7,3.61,7,4,1,attention,3
68.4,2.7,6,3,1,pattern,3
100.0,1.69,0,1,-1,attention,2
100.0,1.97,0,1,-2,routine,2
53.2,3.14,1,4,-1,attention,3
85.7,1.1,1,2,0,pattern,3
92.3,2.13,0,3,0,pattern,3
65.3,2.74,2,4,-1,routine,4
90.6,2.23,0,2,1,memory,3
92.8,1.46,0,2,0,memory,3
100.0,1.56,0,2,3,routine,3
53.3,4.09,5,5,3,attention,4
82.6,1.8,0,1,-3,memory,1
100.0,0.6,0,1,2,memory,2
55.1,3.0,0,5,-3,pattern,4
69.3,3.84,2,5,-2,memory,4
82.3,1.98,1,1,-1,routine,1
80.5,1.29,1,3,-3,pattern,3
69.1,3.48,2,5,1,routine,4
100.0,0.6,1,1,-3,routine,2
64.7,4.65,2,5,2,attention,4
100.0,2.45,0,2,-2,pattern,2
87.9,2.54,2,2,-3,memory,2
77.7,3.1,2,5,2,attention,5
91.8,0.94,0,1,1,pattern,2
79.3,1.5,2,2,-2,memory,2
100.0,0.6,1,1,2,attention,2
89.8,2.69,0,2,2,pattern,2
100.0,1.97,0,1,-3,pattern,2
75.3,1.87,2,1,3,attention,1
84.9,1.98,1,2,-1,pattern,2
100.0,1.1,0,2,3,routine,3
51.7,3.1,3,5,1,pattern,4
62.4,4.2,5,5,-1,routine,4
58.6,2.56,4,4,-2,pattern,3
61.3,2.91,4,5,0,attention,4
68.7,3.27,0,5,0,pattern,5
97.6,1.41,0,2,1,routine,3
88.0,3.48,2,4,1,attention,4
50.7,2.38,4,3,1,memory,2
73.1,1.16,1,3,0,attention,3
64.3,2.6,4,3,-3,routine,2
74.1,2.26,3,3,-1,attention,3
81.2,2.9,2,4,3,attention,4
70.4,2.87,4,3,1,routine,2
72.6,3.22,1,4,0,attention,4
91.6,3.59,0,4,2,pattern,4
69.7,3.12,3,5,-3,memory,4
98.5,3.99,1,3,1,memory,3
80.4,1.43,3,1,-3,routine,1
94.0,1.74,2,1,-1,memory,1
74.3,1.67,1,2,3,attention,2
83.1,1.54,1,1,-1,routine,1
92.7,1.07,1,1,-2,attention,2
70.6,3.73,5,5,0,memory,4
80.4,3.96,0,5,3,routine,5
87.4,2.28,1,2,2,attention,2
100.0,1.74,0,1,-3,attention,1
71.1,4.65,5,5,3,pattern,4
94.0,1.75,1,2,-3,attention,3
39.1,2.59,8,5,-2,memory,4
97.0,1.73,0,1,1,pattern,2
99.0,1.94,0,2,1,pattern,3
56.3,3.73,3,5,1,pattern,4
73.8,3.51,1,4,-1,attention,3
66.2,2.92,1,2,2,attention,2
66.8,2.84,3,4,1,pattern,3
59.7,4.19,2,5,3,pattern,4
92.2,2.1,1,2,1,memory,3
52.9,2.86,1,4,3,pattern,4
64.8,3.98,2,5,-1,pattern,4
76.8,2.7,1,5,1,memory,5
91.0,0.6,0,1,-3,memory,2
88.2,3.18,0,3,1,memory,3
97.4,0.91,0,2,-1,memory,3
82.9,3.17,4,3,-2,pattern,2
99.9,3.34,0,4,-2,routine,4
65.2,3.99,4,4,-3,pattern,3
66.8,3.57,5,5,0,attention,4
100.0,0.95,0,1,2,pattern,2
63.3,3.23,3,5,-3,attention,4
99.9,1.22,1,1,-2,pattern,2
74.5,1.92,1,3,0,pattern,3
77.9,3.53,1,4,1,pattern,4
84.3,2.71,1,3,3,memory,3
69.1,4.08,2,5,0,attention,4
73.4,2.51,4,4,-1,attention,3
94.9,1.79,1,1,1,pattern,2
77.8,2.98,2,4,0,pattern,4
88.4,2.49,3,3,3,pattern,3
71.7,1.51,6,3,-2,pattern,2
65.0,2.61,7,4,-3,routine,3
100.0,1.36,0,1,-3,attention,2
63.3,3.37,2,5,3,attention,5
75.1,2.4,1,3,-1,attention,3
79.6,3.82,1,4,0,attention,4
100.0,1.69,1,1,3,attention,2
83.5,5.13,1,5,-1,memory,4
97.7,2.35,0,2,-3,memory,2
94.8,0.6,0,1,0,memory,2
65.9,3.87,1,5,1,routine,4
73.1,2.01,0,1,-2,memory,1
67.7,1.92,1,1,-3,pattern,1
76.1,2.47,5,2,-3,memory,1
77.4,1.95,2,2,-3,routine,2
86.7,3.0,0,4,-3,pattern,4
70.2,1.55,1,2,3,memory,3
100.0,1.4,0,1,-3,attention,2
61.5,2.55,1,2,-2,attention,1
90.4,3.12,1,4,-2,attention,4
78.3,1.21,3,4,2,attention,4
88.2,2.53,2,3,0,routine,3
85.0,1.94,1,2,3,attention,3
77.0,3.05,3,4,3,pattern,4
91.7,1.82,1,2,1,pattern,3
100.0,1.46,0,1,2,routine,2
70.3,3.53,1,4,-3,attention,3
56.6,4.19,3,4,-2,attention,3
92.2,2.16,0,1,-2,routine,1
80.1,2.8,1,3,2,pattern,3
65.2,1.92,2,3,-3,memory,3
95.7,2.46,0,4,-3,attention,4
52.6,2.72,2,3,1,attention,2
86.8,1.63,0,1,2,attention,2
100.0,2.11,2,1,-2,attention,1
88.3,2.55,3,1,-2,routine,1
75.7,2.37,0,3,0,pattern,3
71.2,1.32,0,2,2,memory,3
100.0,2.07,0,1,-3,memory,1
76.9,3.77,2,4,-2,attention,3
100.0,1.49,1,1,-1,routine,2
67.3,4.68,3,5,3,routine,4
100.0,1.62,0,2,2,memory,3
100.0,1.5,0,3,2,attention,4
66.4,3.12,4,5,3,memory,4
86.9,1.89,0,4,3,routine,5
65.9,3.04,4,5,0,attention,4
61.6,2.64,6,3,1,pattern,2
65.5,2.92,3,4,-1,routine,3
53.0,3.59,4,5,0,memory,4
79.5,2.73,2,2,-1,attention,2
97.8,1.58,1,2,-1,attention,3
71.3,2.82,2,4,-1,memory,4
61.8,4.58,5,5,-1,attention,4
81.2,2.74,2,2,0,pattern,2
75.8,2.93,2,3,-3,memory,2
79.1,1.83,2,3,-1,routine,3
49.2,3.76,3,5,-3,attention,4
100.0,1.43,0,1,3,attention,2
61.1,2.34,3,2,1,memory,2
59.5,3.04,3,4,-2,pattern,3
56.0,3.07,4,4,0,memory,3
100.0,1.44,0,3,-3,pattern,4
85.7,3.05,1,4,0,attention,4
80.6,1.45,3,2,-3,pattern,2
85.5,1.74,1,2,3,attention,3
60.0,2.43,5,5,3,routine,4
53.3,2.91,3,5,3,memory,4
61.2,4.24,4,4,-1,memory,3
100.0,1.34,0,1,-1,memory,2
100.0,0.9,0,1,0,attention,2
73.6,2.58,4,3,-3,pattern,2
76.3,2.44,3,2,-3,routine,1
62.2,2.66,2,5,-2,memory,4
63.8,1.88,5,3,-1,pattern,2
49.4,3.11,8,5,1,attention,4
78.6,2.88,2,3,2,pattern,3
100.0,1.84,0,2,2,memory,3
100.0,2.2,0,2,2,pattern,3
88.0,3.37,0,4,3,attention,4
71.4,4.03,2,4,-2,routine,3
91.1,1.7,0,1,-2,memory,2
82.2,2.27,1,3,-1,pattern,3
71.9,2.26,2,4,-3,routine,4
74.0,3.1,2,4,2,pattern,4
92.0,1.37,0,1,-3,pattern,2
78.9,2.66,2,4,2,routine,4
73.9,1.97,2,2,-1,pattern,2
97.8,3.75,1,4,-2,attention,4
72.3,2.56,2,3,0,memory,3
77.3,1.34,2,3,-3,routine,3
96.0,2.64,0,2,0,memory,3
74.0,3.73,1,5,0,pattern,5
81.9,2.63,0,5,-2,attention,5
76.2,2.31,1,3,-2,memory,3
62.5,3.48,6,5,-1,attention,4
86.5,2.36,0,3,-2,attention,3
100.0,1.23,1,1,1,attention,2
90.5,0.75,1,1,-1,pattern,2
86.1,2.35,0,2,-3,attention,2
47.6,2.73,1,4,-3,routine,3
82.4,2.11,2,3,0,routine,3
87.7,1.19,0,1,2,pattern,2
97.6,1.82,0,2,0,memory,3
62.9,2.41,3,3,0,pattern,2
100.0,1.85,0,1,-1,memory,2
71.9,2.42,3,3,1,pattern,3
92.0,1.18,1,1,0,attention,2
63.0,2.55,6,3,1,attention,2
95.2,1.03,0,1,-3,pattern,2
100.0,1.22,1,1,0,memory,2
84.4,2.64,2,2,0,pattern,2
62.4,2.84,1,4,-2,pattern,3
69.2,2.79,3,5,3,pattern,5
93.6,3.06,1,2,1,pattern,2
66.3,2.49,2,2,-3,attention,1
72.2,2.37,2,2,1,memory,2
61.6,4.04,2,4,0,attention,3
74.9,2.98,0,3,3,memory,3
69.6,1.91,3,3,-1,attention,3
84.5,2.65,0,4,-2,memory,4
60.4,4.6,5,5,3,pattern,4
75.1,3.14,3,5,-1,pattern,4
91.3,1.9,2,1,1,attention,1
86.2,2.46,1,3,-3,routine,3
89.6,2.27,2,3,2,routine,4
78.4,3.56,2,3,3,attention,3
76.0,3.04,3,5,2,routine,5
89.4,2.78,1,4,-2,routine,4
95.9,1.77,0,2,-2,routine,3
100.0,2.29,0,3,3,attention,4
75.6,3.43,2,5,3,memory,5
80.3,2.77,2,4,-2,pattern,4
88.5,1.47,0,1,-3,routine,1
50.9,4.91,9,5,2,routine,4
91.2,1.69,1,2,-3,attention,2
79.9,2.96,0,4,0,memory,4
42.2,3.26,4,3,3,pattern,2
71.1,2.4,1,4,0,memory,4
100.0,1.55,1,1,-3,memory,2
77.7,2.15,1,1,-1,pattern,1
72.1,2.97,1,5,3,memory,5
84.2,2.48,1,2,3,memory,2
94.6,2.1,2,1,-3,memory,1
60.8,3.06,4,4,-2,routine,3
96.1,1.38,0,2,2,pattern,3
78.6,2.64,1,4,1,pattern,4
74.0,2.3,2,3,2,routine,3
94.6,0.91,0,1,2,attention,2
46.2,3.99,7,5,1,attention,4
64.3,3.22,0,4,-1,routine,4
100.0,2.46,0,2,-1,routine,3
71.5,3.38,1,5,-3,attention,4
50.7,3.53,4,3,-3,routine,2
76.0,3.63,5,5,3,routine,5
100.0,1.66,0,2,2,routine,3
83.8,1.83,3,3,0,pattern,3
100.0,2.15,0,1,0,routine,2
92.6,1.12,1,2,0,attention,3
67.7,1.05,2,2,1,attention,2
90.3,1.59,1,1,-1,routine,1
72.5,3.73,2,4,-3,routine,3
100.0,1.62,0,1,-3,memory,2
87.9,1.76,2,2,1,routine,3
79.5,1.58,1,1,0,memory,1
77.9,3.44,0,4,-3,memory,4
100.0,2.31,0,2,2,memory,3
64.1,3.9,4,4,1,attention,3
82.2,1.7,1,4,2,routine,5
71.6,3.71,2,4,0,attention,3
93.7,3.12,2,3,-2,memory,3
100.0,1.47,1,1,-3,attention,2
67.0,4.24,5,5,-2,pattern,4
69.4,3.25,3,4,-2,routine,3
97.2,0.6,0,1,0,pattern,2
54.1,3.36,6,4,1,memory,3
95.2,1.59,0,1,0,attention,2
61.8,2.67,4,4,1,pattern,3
89.7,2.47,0,1,-2,routine,1
100.0,2.23,1,1,-2,attention,1
74.0,3.08,1,4,1,routine,4
79.3,2.96,1,3,-2,memory,3
85.3,1.95,0,2,1,memory,3
76.3,2.94,1,4,1,memory,4
81.7,2.15,2,2,-2,memory,2
56.7,2.86,5,5,2,memory,4
100.0,1.94,0,1,1,attention,2
100.0,2.46,0,2,-3,routine,2
81.5,1.61,0,1,-3,memory,1
58.5,3.45,5,5,2,pattern,4
80.4,1.74,2,3,2,routine,4
62.9,3.23,4,4,-3,memory,3
100.0,0.6,0,1,0,memory,2
89.9,2.2,2,3,-2,pattern,3
91.3,2.5,0,1,-3,memory,1
100.0,2.68,0,2,3,pattern,3
88.5,1.87,0,1,1,attention,2
77.5,1.78,2,1,1,attention,1
84.8,2.43,2,4,1,memory,4
81.5,3.14,2,5,2,attention,5
76.7,2.16,4,2,-2,routine,1
93.6,1.47,0,1,2,memory,2
86.2,1.33,1,1,2,pattern,2
78.8,1.77,1,3,-3,routine,3
65.5,3.38,4,3,1,pattern,2
100.0,2.78,0,4,0,pattern,5
100.0,0.89,0,1,-1,memory,2
76.6,2.53,1,3,2,routine,3
100.0,1.87,1,1,-1,routine,2
74.6,2.09,3,2,-2,attention,2
93.8,2.48,1,3,1,attention,4
79.2,3.36,4,4,1,memory,3
91.9,1.46,0,1,1,pattern,2
77.1,2.92,0,3,3,memory,3
72.2,1.94,0,2,2,memory,2
65.7,1.84,3,1,-2,pattern,1
52.1,5.18,8,5,-3,routine,4
86.0,1.32,2,1,0,attention,2
89.5,1.13,1,2,-2,attention,3
100.0,2.87,1,2,-1,attention,2
72.3,2.55,0,4,-2,routine,4
49.6,3.43,4,5,-3,pattern,4
88.2,1.57,0,3,2,routine,4
63.3,2.97,1,4,1,routine,4
88.4,2.27,0,2,0,memory,3
89.3,2.23,1,2,2,memory,3
50.7,3.61,6,5,2,routine,4
84.5,1.9,5,2,0,pattern,2
56.8,2.43,3,5,-3,attention,4
40.9,3.02,4,5,-2,memory,4
77.4,2.97,1,3,1,attention,3
92.2,2.29,0,2,1,attention,3
92.1,2.36,2,2,-1,memory,2
92.4,3.87,0,2,-3,routine,2
83.3,1.26,2,1,1,memory,2
88.1,2.78,0,3,-1,memory,3
87.0,2.95,3,3,3,pattern,3
69.3,2.29,4,3,2,pattern,2
100.0,1.17,1,1,1,attention,2
100.0,1.99,1,2,-3,attention,2
100.0,1.23,0,1,3,attention,2
67.5,3.19,3,3,3,attention,2
82.3,2.56,1,2,-1,pattern,2
72.0,3.4,3,5,-2,memory,4
80.7,1.07,1,2,2,pattern,3
80.0,2.84,0,4,-1,routine,4
79.1,2.69,2,3,-1,routine,3
65.2,3.58,2,4,1,routine,3
66.8,3.52,2,4,-1,pattern,3
77.3,1.37,3,3,-1,pattern,3
81.7,1.25,1,1,0,memory,2
76.6,1.67,1,2,0,routine,2
96.7,3.13,0,4,2,pattern,5
55.6,2.88,3,4,-3,routine,3
72.6,1.05,1,1,-3,routine,1
82.0,2.22,2,3,3,pattern,3
100.0,1.7,0,2,-3,pattern,3
75.4,2.55,2,3,-3,routine,2
56.2,4.12,7,5,3,routine,4
46.2,2.81,6,4,-1,routine,3
81.1,2.91,0,5,2,attention,5
79.8,2.34,0,2,1,routine,2
92.3,2.01,0,1,-3,memory,1
65.2,2.28,3,5,-2,attention,4
39.8,3.58,4,5,-1,memory,4
70.3,3.74,3,4,-3,pattern,3
50.1,3.46,2,5,-2,routine,4
88.8,3.37,1,5,2,memory,5
44.4,3.4,7,5,-1,routine,4
93.2,0.67,0,1,-1,pattern,2
67.7,3.57,0,5,2,routine,5
87.6,2.12,3,3,0,memory,3
98.9,2.09,0,2,-1,attention,3
68.7,3.69,2,4,-2,pattern,3
100.0,1.29,0,2,1,attention,3
63.1,2.07,2,5,-1,memory,5
67.7,2.6,3,5,-2,routine,4
81.1,2.51,4,3,1,attention,3
86.4,1.9,0,2,-2,pattern,2
76.7,2.49,1,3,3,attention,3
69.2,3.01,3,5,2,memory,4
63.6,2.17,1,4,3,routine,4
90.4,1.14,1,1,-2,attention,2
100.0,1.18,1,1,-2,routine,2
87.9,2.84,0,3,0,pattern,3
83.9,1.9,3,2,1,pattern,2
100.0,1.99,1,2,2,attention,3
87.2,1.53,1,2,2,routine,3
73.8,3.06,5,5,2,attention,4
89.4,1.91,0,2,0,memory,3
82.0,2.77,2,2,3,memory,2
61.3,3.7,6,5,-3,attention,4
94.5,1.51,0,2,3,attention,3
78.9,3.95,3,4,1,memory,3
81.6,2.5,2,3,2,attention,3
58.6,3.58,7,5,0,pattern,4
67.0,4.24,2,5,-2,routine,4
68.8,1.99,4,4,1,memory,4
76.8,4.44,0,5,2,routine,5
89.1,0.94,1,1,-1,memory,2
64.6,3.82,3,5,0,memory,4
90.3,2.99,2,2,1,routine,2
91.4,0.6,0,2,-3,routine,3
89.6,2.63,0,3,-2,pattern,3
79.4,2.76,1,2,0,routine,2
85.5,2.7,4,3,-1,pattern,3
54.4,3.12,5,4,2,routine,3
64.6,2.38,2,3,0,memory,3
93.6,4.92,0,3,2,memory,3
68.4,2.68,0,4,-1,memory,4
85.1,1.28,2,2,0,pattern,3
61.1,2.93,1,4,-1,memory,4
81.4,2.33,2,2,3,memory,2
53.5,4.32,5,5,-3,memory,4
59.5,3.39,3,4,-1,pattern,3
92.7,2.59,1,2,0,attention,2
76.3,3.38,3,4,0,pattern,3
74.1,1.52,2,1,1,attention,1
100.0,2.65,0,2,0,attention,2
78.8,1.57,2,2,-1,memory,2
69.1,2.88,2,4,2,attention,4
72.4,3.05,3,2,-1,attention,1
72.3,3.16,5,3,1,pattern,2
86.4,2.79,3,4,3,memory,4
86.1,1.9,3,3,-3,memory,3
87.6,0.96,0,1,2,attention,2
85.9,1.69,1,3,-2,memory,3
79.9,2.4,3,3,1,pattern,3
59.0,3.24,1,4,-3,attention,3
75.7,1.32,0,2,-3,routine,2
93.0,1.18,2,1,1,pattern,2
82.3,1.57,2,3,1,memory,3
95.0,1.79,1,3,2,memory,4
94.4,2.68,0,2,-2,routine,2
71.5,3.74,4,5,-1,routine,4
79.2,2.28,3,2,-2,memory,2
62.1,3.34,4,5,-1,pattern,4
70.0,2.38,4,2,3,pattern,2
68.5,3.79,4,5,-3,routine,4
93.5,1.87,0,2,1,routine,3
80.7,2.85,0,1,-2,routine,1
100.0,1.44,0,1,-2,routine,2
62.6,2.76,8,5,-1,pattern,4
50.3,1.19,5,3,-1,routine,2
70.8,2.66,4,4,1,attention,4
100.0,0.6,0,1,-2,attention,2
71.5,1.44,3,1,1,memory,1
100.0,1.78,0,2,0,routine,3
76.8,2.77,0,4,-2,attention,4
73.3,3.2,2,3,1,attention,3
96.3,0.6,0,1,3,pattern,2
77.7,1.45,2,2,1,pattern,2
76.1,3.17,4,4,-1,memory,3
93.4,2.55,0,3,-3,memory,3
82.7,3.01,0,3,-2,attention,3
51.2,4.3,5,5,-1,memory,4
99.8,1.69,0,2,2,attention,3
95.9,1.66,0,2,-2,attention,3
72.8,2.19,1,4,-3,attention,4
79.2,2.84,4,3,-2,attention,2
95.5,2.23,0,4,-1,routine,5
100.0,1.55,0,1,-3,memory,2
87.0,0.6,0,1,0,attention,2
82.0,1.85,0,2,-3,pattern,2
96.7,2.02,0,2,1,memory,3
71.6,2.82,1,4,2,pattern,4
90.6,1.31,0,1,0,routine,2
63.0,3.56,3,5,2,routine,4
83.1,1.97,2,2,2,pattern,2
97.3,1.56,0,1,2,pattern,2
100.0,1.68,0,1,2,routine,2
88.8,2.54,2,4,0,routine,4
90.0,1.82,0,2,3,pattern,3
74.0,3.42,4,5,-2,routine,4
96.5,1.52,0,1,-3,memory,2
71.4,0.89,2,1,2,memory,2
100.0,0.92,0,2,-1,attention,3
77.7,3.86,3,5,3,pattern,5
68.6,2.92,1,4,3,memory,4
91.8,2.5,4,2,0,memory,2
51.6,4.81,10,5,2,routine,4
64.1,2.29,1,4,0,pattern,4
62.0,3.63,1,4,-1,memory,3
78.1,2.53,4,2,2,attention,2
89.5,1.34,2,1,-1,memory,1
57.4,2.06,2,4,-1,routine,4
86.2,2.86,1,3,-3,routine,3
63.4,3.95,4,5,-1,memory,4
91.1,0.69,1,1,-1,routine,2
98.4,3.14,0,4,2,pattern,5
94.1,1.43,0,2,-1,routine,3
78.7,3.7,2,4,-1,pattern,3
87.1,2.72,1,2,3,attention,3
56.6,2.69,2,5,-2,memory,4
80.0,2.85,2,2,3,pattern,2
100.0,1.92,1,1,-3,routine,1
100.0,1.49,0,1,-2,routine,2
88.5,3.39,1,3,1,memory,3
68.7,1.22,4,2,1,pattern,2
86.6,3.08,1,5,-1,routine,5
74.8,2.09,3,3,-3,attention,3
96.6,1.2,0,1,-3,routine,2
76.6,1.6,2,3,3,routine,3
94.2,1.76,0,1,-1,routine,2
92.1,2.98,0,2,-3,routine,2
89.2,3.61,0,4,3,pattern,4
100.0,2.19,0,1,1,memory,2
60.7,3.29,6,5,1,attention,4
69.4,4.56,3,5,1,memory,4
75.7,2.44,2,3,3,attention,3
87.2,1.5,0,3,1,attention,4
75.2,1.58,3,1,-1,attention,1
88.6,3.28,3,3,0,routine,3
64.7,2.18,2,3,3,attention,3
64.8,3.42,4,3,-1,routine,2
64.8,3.87,1,4,-3,routine,3
74.6,2.16,4,2,-1,memory,1
100.0,2.58,0,1,-2,memory,2
72.1,2.39,4,3,0,attention,3
52.6,4.77,4,5,-1,memory,4
73.0,1.38,5,3,-1,pattern,3
73.9,2.34,2,2,1,attention,2
71.0,2.71,1,4,-3,routine,3
91.1,2.47,0,1,1,attention,2
95.2,1.8,0,3,1,pattern,4
60.6,4.05,1,4,0,memory,3
94.6,3.07,0,3,-1,attention,3
38.2,4.12,2,5,1,attention,4
76.4,2.63,2,1,0,attention,1
55.0,2.96,7,4,-1,pattern,3
89.5,2.22,0,2,-2,attention,2
65.8,2.94,1,3,-2,routine,2
73.8,2.51,3,5,0,memory,5
85.2,4.64,1,4,2,memory,3
81.7,2.88,0,5,3,routine,5
90.1,1.54,0,1,2,pattern,2
73.2,4.28,2,4,-3,routine,3
100.0,1.53,0,1,-1,memory,2
88.2,3.56,1,3,-3,attention,3
77.8,2.81,3,5,2,attention,5
54.2,2.72,6,5,2,routine,4
100.0,1.76,1,1,1,attention,2
100.0,1.0,0,2,-3,memory,3
100.0,1.15,0,1,-3,memory,2
89.1,1.09,0,1,-2,memory,2
66.3,3.21,2,4,-3,memory,3
89.2,2.65,2,2,3,pattern,3
70.4,3.87,3,4,0,routine,3
54.6,3.11,4,4,3,memory,3
24.7,3.46,7,5,1,routine,4
100.0,1.56,0,1,-3,attention,2
60.9,3.27,4,5,1,routine,4
76.0,3.86,1,5,-3,pattern,4
92.8,0.85,2,1,2,memory,2
55.5,4.27,3,5,-2,attention,4
58.5,4.18,6,5,0,attention,4
66.6,3.6,7,4,0,pattern,3
47.4,2.22,4,4,1,memory,3
90.1,1.42,2,2,0,memory,2
39.8,2.23,5,3,-2,routine,2
80.8,2.2,2,3,0,memory,3
80.4,1.01,2,1,3,pattern,2
52.5,2.78,4,3,1,memory,2
80.3,2.99,0,4,1,memory,4
100.0,3.94,0,2,2,pattern,2
67.9,1.74,0,3,-2,routine,3
86.3,1.84,1,1,3,pattern,2
54.7,2.46,6,3,-1,attention,2
51.4,2.49,1,5,1,memory,5
95.9,2.6,0,3,-2,memory,3
87.0,1.59,0,2,0,pattern,3
99.2,1.5,0,1,1,attention,2
93.6,0.93,0,1,3,memory,2
61.4,3.41,2,5,1,memory,4
92.1,1.94,2,1,-3,routine,1
56.5,1.65,4,3,3,memory,3
72.4,2.01,1,3,3,routine,3
84.5,1.25,0,1,1,pattern,2
84.5,1.6,1,2,0,memory,3
55.7,4.45,3,5,1,memory,4
56.0,3.23,3,4,1,memory,3
96.1,2.8,1,2,-3,memory,2
83.9,2.11,1,2,-3,routine,2
66.0,4.02,3,5,0,memory,4
62.7,3.23,6,4,-1,memory,3
94.8,0.99,1,1,0,pattern,2
49.3,2.86,7,4,2,attention,3
95.5,2.28,1,2,-3,routine,2
49.0,4.71,5,5,-1,memory,4
85.6,0.96,1,1,-1,attention,2
53.8,2.31,10,4,-2,pattern,3
73.9,2.86,0,3,-1,routine,3
66.1,3.58,3,5,-3,attention,4
86.8,1.88,1,3,2,memory,4
63.4,2.27,2,3,0,attention,3
74.0,2.82,5,3,2,pattern,2
58.8,2.92,0,3,-3,pattern,2
70.8,1.05,2,1,0,attention,1
68.8,2.98,2,4,1,pattern,4
45.0,2.88,9,3,-2,memory,2
46.7,3.64,4,5,2,memory,4
100.0,2.74,0,3,-3,memory,3
71.4,2.17,0,3,3,attention,3
89.4,1.86,0,1,2,attention,2
90.0,1.85,0,1,2,pattern,2
72.5,2.89,1,4,-2,attention,4
61.9,1.27,0,2,2,memory,3
84.1,1.71,0,2,1,memory,3
97.5,2.28,0,3,-2,memory,3
60.9,2.84,4,3,1,attention,2
68.7,3.48,5,5,-2,attention,4
64.3,4.07,4,5,3,pattern,4
100.0,2.44,0,1,2,memory,2
46.4,3.68,3,5,1,routine,4
54.3,2.11,1,2,3,pattern,2
87.0,2.32,1,2,0,attention,2
69.3,3.51,3,5,3,routine,5
69.0,1.23,3,2,-2,routine,2
95.5,3.35,1,2,2,memory,2
94.5,1.58,1,1,1,routine,2
53.7,4.07,4,5,1,pattern,4
100.0,1.94,1,1,0,pattern,2
71.3,3.69,2,4,-1,memory,3
85.9,3.13,0,3,-2,memory,3
99.8,1.24,0,1,0,pattern,2
87.9,3.36,1,4,1,memory,4
84.5,1.58,1,2,1,routine,2
86.8,3.0,0,3,-1,memory,3
71.6,3.81,5,4,-3,attention,3
76.9,2.05,1,2,0,pattern,2
100.0,1.2,0,1,3,pattern,2
48.6,3.63,3,5,3,routine,4
91.9,2.41,1,1,2,routine,2
99.9,3.71,0,3,2,attention,3
84.7,2.66,1,2,2,memory,2
64.4,2.68,1,2,0,pattern,2
89.9,1.31,0,2,0,attention,3
92.5,1.66,1,1,0,routine,2
73.4,3.6,1,4,2,attention,4
78.1,2.38,1,3,-2,memory,3
70.9,2.2,4,4,1,pattern,4
43.3,3.1,6,5,-3,pattern,4
89.7,0.71,0,1,1,memory,2
54.9,2.92,3,4,2,pattern,3
57.8,2.66,3,5,-1,routine,4
77.5,2.58,3,4,2,pattern,4
91.2,1.16,2,1,-2,attention,2
73.6,3.09,2,4,-3,routine,3
39.3,4.27,9,5,0,attention,4
81.8,2.12,3,3,3,memory,3
86.0,1.51,0,1,-2,attention,2
100.0,1.42,1,1,3,attention,2
82.0,3.15,2,3,3,memory,3
72.2,1.85,2,2,2,memory,2
83.3,0.6,1,1,-2,attention,2
83.7,1.84,1,1,-1,memory,1
95.0,1.58,0,1,2,routine,2
81.8,2.61,1,3,2,routine,3
69.8,3.01,1,5,0,attention,5
74.4,3.2,0,3,3,attention,3
100.0,2.11,0,1,0,memory,2
61.6,1.94,0,4,-3,attention,4
75.9,3.45,4,5,1,pattern,4
69.3,1.41,1,1,0,attention,1
66.5,1.73,2,3,-2,memory,3
82.6,2.93,4,3,2,attention,3
94.2,1.55,0,1,1,attention,2
58.8,3.54,3,4,-2,memory,3
66.7,2.46,0,2,2,attention,2
61.2,2.58,5,4,3,attention,3
100.0,1.68,0,2,-3,memory,3
74.8,3.36,2,4,-1,memory,3
54.6,2.92,3,5,2,routine,4
99.6,0.9,0,2,2,attention,3
92.7,0.79,0,1,-2,attention,2
64.0,2.01,5,3,2,memory,2
87.3,2.05,1,3,-1,memory,3
99.3,0.6,0,1,-3,pattern,2
81.3,3.74,2,5,3,routine,5
41.9,4.33,0,5,-2,pattern,4
71.7,1.92,3,2,0,memory,2
72.2,1.96,3,3,1,routine,3
46.8,3.27,6,5,-2,attention,4
76.0,2.39,3,4,0,routine,4
54.9,2.65,4,4,0,memory,3
92.2,1.4,0,2,2,routine,3
90.3,3.0,0,3,3,routine,4
92.6,3.07,0,1,-1,routine,1
100.0,1.96,0,1,1,pattern,2
98.4,1.43,0,1,-3,pattern,2
62.4,2.46,1,5,-3,routine,4
60.4,3.52,0,5,1,memory,5
89.6,1.04,1,1,3,memory,2
45.5,3.2,3,5,-2,pattern,4
56.6,2.95,3,4,0,routine,3
93.3,2.52,0,2,3,pattern,3
73.3,2.62,0,2,1,routine,2
84.0,2.98,2,2,-3,memory,2
91.4,2.18,0,2,2,pattern,3
72.9,4.18,2,4,1,routine,3
95.3,0.74,0,1,-3,routine,2
96.8,2.61,0,2,-1,pattern,3
100.0,1.82,0,1,2,pattern,2
62.4,4.2,5,5,1,routine,4
75.1,3.84,3,5,3,memory,4
